ID_Prestamo,Edad,Rango_Edad,Genero,Estado_Civil,Trabajo,Empleo_Desde,Vivienda,Propiedad,Status_Cuenta,Cuenta_Ahorro,Historial_Crediticio,Proposito,Monto_Credito,Duracion_Meses,Tasa_Cuota,Cuota_Mensual,Score_Cliente,Categoria_Score,Rango_Monto,Creditos_Existentes,Personas_Dependientes,Otros_Deudores,Otros_Planes_Cuota,Telefono,Extranjero,Riesgo,Fecha_Solicitud,Anio,Mes,Nombre_Mes,Trimestre,Dia_Semana
13,22,18-25 (Joven),Femenino,Casado/a,Empleado calificado,1 - 4 años,Propia,Auto u otros bienes,0 - 200 DM (Bajo balance),< 100 DM,Créditos existentes pagados puntualmente,Radio/Televisión,1567,12,1,130.58,657,Riesgo Medio (601-700),Pequeño (1K-3K),1,1,Ninguno,Ninguno,Sí,Sí,Good,2024-03-23,2024,3,March,1,Saturday
14,60,50+ (Senior),Masculino,Soltero/a,No calificado - Residente,>= 7 años,Propia,Auto u otros bienes,< 0 DM (Sobregiro),< 100 DM,Cuenta crítica / créditos en otros bancos,Auto (Nuevo),1199,24,4,49.96,482,Muy Alto Riesgo (300-500),Pequeño (1K-3K),2,1,Ninguno,Ninguno,No,Sí,Bad,2024-04-21,2024,4,April,2,Sunday
15,28,26-35 (Adulto Joven),Femenino,Casado/a,Empleado calificado,1 - 4 años,Alquiler,Auto u otros bienes,< 0 DM (Sobregiro),< 100 DM,Créditos existentes pagados puntualmente,Auto (Nuevo),1403,15,2,93.53,528,Alto Riesgo (501-600),Pequeño (1K-3K),1,1,Ninguno,Ninguno,No,Sí,Good,2025-10-31,2025,10,October,4,Friday
16,32,26-35 (Adulto Joven),Femenino,Casado/a,No calificado - Residente,1 - 4 años,Propia,Auto u otros bienes,< 0 DM (Sobregiro),100 - 500 DM,Créditos existentes pagados puntualmente,Radio/Televisión,1282,24,4,53.42,603,Riesgo Medio (601-700),Pequeño (1K-3K),1,1,Ninguno,Ninguno,No,Sí,Bad,2023-02-24,2023,2,February,1,Friday
17,53,50+ (Senior),Masculino,Soltero/a,Empleado calificado,>= 7 años,Propia,Seguro de vida / Ahorro,Sin cuenta corriente,Sin cuenta de ahorro,Cuenta crítica / créditos en otros bancos,Radio/Televisión,2424,24,4,101.0,529,Alto Riesgo (501-600),Pequeño (1K-3K),2,1,Ninguno,Ninguno,No,Sí,Good,2024-02-12,2024,2,February,1,Monday
18,25,18-25 (Joven),Masculino,Soltero/a,Empleado calificado,< 1 año,Propia,Auto u otros bienes,< 0 DM (Sobregiro),Sin cuenta de ahorro,Sin créditos / todos pagados,Negocio,8072,30,2,269.07,579,Alto Riesgo (501-600),Grande (5K-10K),3,1,Ninguno,Banco,No,Sí,Good,2025-05-09,2025,5,May,2,Friday
19,44,36-50 (Adulto),Femenino,Casado/a,Alta gerencia / Autónomo,>= 7 años,Gratuita,Sin propiedad conocida,0 - 200 DM (Bajo balance),< 100 DM,Créditos existentes pagados puntualmente,Auto (Usado),12579,24,4,524.12,542,Alto Riesgo (501-600),Muy Grande (>10K),1,1,Ninguno,Ninguno,Sí,Sí,Bad,2024-03-27,2024,3,March,1,Wednesday
20,31,26-35 (Adulto Joven),Masculino,Soltero/a,Empleado calificado,>= 7 años,Propia,Auto u otros bienes,Sin cuenta corriente,500 - 1000 DM,Créditos existentes pagados puntualmente,Radio/Televisión,3430,24,3,142.92,607,Riesgo Medio (601-700),Mediano (3K-5K),1,2,Ninguno,Ninguno,Sí,Sí,Good,2025-07-08,2025,7,July,3,Tuesday
21,48,36-50 (Adulto),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Propia,Auto u otros bienes,Sin cuenta corriente,< 100 DM,Cuenta crítica / créditos en otros bancos,Auto (Nuevo),2134,9,4,237.11,503,Alto Riesgo (501-600),Pequeño (1K-3K),3,1,Ninguno,Ninguno,Sí,Sí,Good,2024-07-23,2024,7,July,3,Tuesday
22,44,36-50 (Adulto),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Alquiler,Bienes raíces,< 0 DM (Sobregiro),500 - 1000 DM,Créditos existentes pagados puntualmente,Radio/Televisión,2647,6,2,441.17,513,Alto Riesgo (501-600),Pequeño (1K-3K),1,2,Ninguno,Ninguno,No,Sí,Good,2023-01-14,2023,1,January,1,Saturday
23,48,36-50 (Adulto),Masculino,Soltero/a,No calificado - Residente,< 1 año,Alquiler,Bienes raíces,< 0 DM (Sobregiro),< 100 DM,Cuenta crítica / créditos en otros bancos,Auto (Nuevo),2241,10,1,224.1,372,Muy Alto Riesgo (300-500),Pequeño (1K-3K),2,2,Ninguno,Ninguno,No,No,Good,2023-11-23,2023,11,November,4,Thursday
24,44,36-50 (Adulto),Masculino,Soltero/a,Empleado calificado,< 1 año,Propia,Seguro de vida / Ahorro,0 - 200 DM (Bajo balance),100 - 500 DM,Cuenta crítica / créditos en otros bancos,Auto (Usado),1804,12,3,150.33,457,Muy Alto Riesgo (300-500),Pequeño (1K-3K),1,1,Ninguno,Ninguno,No,Sí,Good,2025-05-15,2025,5,May,2,Thursday
25,26,26-35 (Adulto Joven),Masculino,Casado/a,Empleado calificado,1 - 4 años,Propia,Auto u otros bienes,Sin cuenta corriente,Sin cuenta de ahorro,Cuenta crítica / créditos en otros bancos,Muebles/Equipamiento,2069,10,2,206.9,473,Muy Alto Riesgo (300-500),Pequeño (1K-3K),2,1,Ninguno,Ninguno,No,No,Good,2024-11-27,2024,11,November,4,Wednesday
26,36,36-50 (Adulto),Masculino,Soltero/a,No calificado - Residente,1 - 4 años,Propia,Bienes raíces,< 0 DM (Sobregiro),< 100 DM,Créditos existentes pagados puntualmente,Muebles/Equipamiento,1374,6,1,229.0,593,Alto Riesgo (501-600),Pequeño (1K-3K),1,1,Ninguno,Banco,Sí,Sí,Good,2024-07-23,2024,7,July,3,Tuesday
27,39,36-50 (Adulto),Masculino,Casado/a,No calificado - Residente,>= 7 años,Propia,Auto u otros bienes,Sin cuenta corriente,< 100 DM,Sin créditos / todos pagados,Radio/Televisión,426,6,4,71.0,685,Riesgo Medio (601-700),Micro (<1K),1,1,Ninguno,Ninguno,No,Sí,Good,2023-11-15,2023,11,November,4,Wednesday
28,42,36-50 (Adulto),Femenino,Casado/a,Empleado calificado,1 - 4 años,Alquiler,Bienes raíces,>= 200 DM (Buen balance),>= 1000 DM,Todos créditos pagados en este banco,Radio/Televisión,409,12,3,34.08,721,Bajo Riesgo (701-850),Micro (<1K),2,1,Ninguno,Ninguno,No,Sí,Good,2024-03-16,2024,3,March,1,Saturday
29,34,26-35 (Adulto Joven),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Propia,Bienes raíces,0 - 200 DM (Bajo balance),< 100 DM,Créditos existentes pagados puntualmente,Radio/Televisión,2415,7,3,345.0,601,Riesgo Medio (601-700),Pequeño (1K-3K),1,1,Garante,Ninguno,No,Sí,Good,2024-11-20,2024,11,November,4,Wednesday
30,63,50+ (Senior),Masculino,Soltero/a,Empleado calificado,>= 7 años,Propia,Sin propiedad conocida,< 0 DM (Sobregiro),< 100 DM,Retraso en pagos pasados,Negocio,6836,60,3,113.93,531,Alto Riesgo (501-600),Grande (5K-10K),2,1,Ninguno,Ninguno,Sí,Sí,Bad,2023-07-29,2023,7,July,3,Saturday
31,36,36-50 (Adulto),Masculino,Casado/a,Empleado calificado,< 1 año,Propia,Bienes raíces,0 - 200 DM (Bajo balance),>= 1000 DM,Créditos existentes pagados puntualmente,Negocio,1913,18,3,106.28,601,Riesgo Medio (601-700),Pequeño (1K-3K),1,1,Ninguno,Banco,Sí,Sí,Good,2023-07-09,2023,7,July,3,Sunday
32,27,26-35 (Adulto Joven),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Propia,Auto u otros bienes,< 0 DM (Sobregiro),< 100 DM,Créditos existentes pagados puntualmente,Muebles/Equipamiento,4020,24,2,167.5,645,Riesgo Medio (601-700),Mediano (3K-5K),1,1,Ninguno,Tiendas,No,Sí,Good,2025-02-17,2025,2,February,1,Monday
33,30,26-35 (Adulto Joven),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Propia,Auto u otros bienes,0 - 200 DM (Bajo balance),100 - 500 DM,Créditos existentes pagados puntualmente,Auto (Nuevo),5866,18,2,325.89,619,Riesgo Medio (601-700),Grande (5K-10K),2,1,Ninguno,Ninguno,Sí,Sí,Good,2023-07-18,2023,7,July,3,Tuesday
34,57,50+ (Senior),Masculino,Soltero/a,No calificado - Residente,>= 7 años,Alquiler,Sin propiedad conocida,Sin cuenta corriente,Sin cuenta de ahorro,Cuenta crítica / créditos en otros bancos,Negocio,1264,12,4,105.33,488,Muy Alto Riesgo (300-500),Pequeño (1K-3K),1,1,Ninguno,Ninguno,No,Sí,Good,2025-01-05,2025,1,January,1,Sunday
35,33,26-35 (Adulto Joven),Femenino,Casado/a,Alta gerencia / Autónomo,< 1 año,Propia,Seguro de vida / Ahorro,>= 200 DM (Buen balance),< 100 DM,Créditos existentes pagados puntualmente,Muebles/Equipamiento,1474,12,4,122.83,694,Riesgo Medio (601-700),Pequeño (1K-3K),1,1,Ninguno,Banco,Sí,Sí,Good,2024-12-05,2024,12,December,4,Thursday
36,25,18-25 (Joven),Masculino,Soltero/a,No calificado - Residente,< 1 año,Propia,Seguro de vida / Ahorro,0 - 200 DM (Bajo balance),< 100 DM,Cuenta crítica / créditos en otros bancos,Radio/Televisión,4746,45,4,105.47,463,Muy Alto Riesgo (300-500),Mediano (3K-5K),2,1,Ninguno,Ninguno,No,Sí,Bad,2024-06-25,2024,6,June,2,Tuesday
37,31,26-35 (Adulto Joven),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Gratuita,Sin propiedad conocida,Sin cuenta corriente,< 100 DM,Cuenta crítica / créditos en otros bancos,Educación,6110,48,1,127.29,436,Muy Alto Riesgo (300-500),Grande (5K-10K),1,1,Ninguno,Banco,Sí,Sí,Good,2023-03-30,2023,3,March,1,Thursday
38,37,36-50 (Adulto),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Propia,Bienes raíces,>= 200 DM (Buen balance),< 100 DM,Créditos existentes pagados puntualmente,Radio/Televisión,2100,18,4,116.67,641,Riesgo Medio (601-700),Pequeño (1K-3K),1,1,Co-solicitante,Tiendas,No,Sí,Bad,2025-07-29,2025,7,July,3,Tuesday
39,37,36-50 (Adulto),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Propia,Auto u otros bienes,>= 200 DM (Buen balance),< 100 DM,Créditos existentes pagados puntualmente,Electrodomésticos,1225,10,2,122.5,660,Riesgo Medio (601-700),Pequeño (1K-3K),1,1,Ninguno,Ninguno,Sí,Sí,Good,2023-09-13,2023,9,September,3,Wednesday
40,24,18-25 (Joven),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Propia,Bienes raíces,0 - 200 DM (Bajo balance),< 100 DM,Créditos existentes pagados puntualmente,Radio/Televisión,458,9,4,50.89,685,Riesgo Medio (601-700),Micro (<1K),1,1,Ninguno,Ninguno,No,Sí,Good,2025-02-14,2025,2,February,1,Friday
41,30,26-35 (Adulto Joven),Masculino,Soltero/a,Alta gerencia / Autónomo,>= 7 años,Propia,Auto u otros bienes,Sin cuenta corriente,500 - 1000 DM,Créditos existentes pagados puntualmente,Radio/Televisión,2333,30,4,77.77,702,Bajo Riesgo (701-850),Pequeño (1K-3K),1,1,Ninguno,Banco,No,Sí,Good,2023-06-11,2023,6,June,2,Sunday
42,26,26-35 (Adulto Joven),Masculino,Divorciado/a,Empleado calificado,1 - 4 años,Propia,Auto u otros bienes,0 - 200 DM (Bajo balance),500 - 1000 DM,Créditos existentes pagados puntualmente,Radio/Televisión,1158,12,3,96.5,685,Riesgo Medio (601-700),Pequeño (1K-3K),1,1,Ninguno,Ninguno,Sí,Sí,Good,2024-08-23,2024,8,August,3,Friday
43,44,36-50 (Adulto),Masculino,Soltero/a,No calificado - Residente,1 - 4 años,Propia,Bienes raíces,0 - 200 DM (Bajo balance),< 100 DM,Retraso en pagos pasados,Reparaciones,6204,18,2,344.67,526,Alto Riesgo (501-600),Grande (5K-10K),1,2,Ninguno,Ninguno,Sí,Sí,Good,2025-01-10,2025,1,January,1,Friday
44,24,18-25 (Joven),Masculino,Casado/a,Empleado calificado,4 - 7 años,Alquiler,Auto u otros bienes,< 0 DM (Sobregiro),100 - 500 DM,Cuenta crítica / créditos en otros bancos,Auto (Usado),6187,30,1,206.23,440,Muy Alto Riesgo (300-500),Grande (5K-10K),2,1,Ninguno,Ninguno,No,Sí,Good,2024-01-29,2024,1,January,1,Monday
45,58,50+ (Senior),Femenino,Casado/a,No calificado - Residente,>= 7 años,Gratuita,Sin propiedad conocida,< 0 DM (Sobregiro),< 100 DM,Cuenta crítica / créditos en otros bancos,Auto (Usado),6143,48,4,127.98,405,Muy Alto Riesgo (300-500),Grande (5K-10K),2,1,Ninguno,Tiendas,No,Sí,Bad,2023-05-23,2023,5,May,2,Tuesday
46,35,26-35 (Adulto Joven),Femenino,Casado/a,Alta gerencia / Autónomo,< 1 año,Propia,Auto u otros bienes,Sin cuenta corriente,< 100 DM,Cuenta crítica / créditos en otros bancos,Auto (Nuevo),1393,11,4,126.64,438,Muy Alto Riesgo (300-500),Pequeño (1K-3K),2,1,Ninguno,Ninguno,No,Sí,Good,2023-04-04,2023,4,April,2,Tuesday
47,39,36-50 (Adulto),Masculino,Soltero/a,Empleado calificado,>= 7 años,Propia,Auto u otros bienes,Sin cuenta corriente,500 - 1000 DM,Créditos existentes pagados puntualmente,Radio/Televisión,2299,36,4,63.86,666,Riesgo Medio (601-700),Pequeño (1K-3K),1,1,Ninguno,Ninguno,No,Sí,Good,2024-04-11,2024,4,April,2,Thursday
48,23,18-25 (Joven),Femenino,Casado/a,Desempleado / No calificado - No residente,Desempleado,Alquiler,Seguro de vida / Ahorro,< 0 DM (Sobregiro),500 - 1000 DM,Créditos existentes pagados puntualmente,Auto (Usado),1352,6,1,225.33,511,Alto Riesgo (501-600),Pequeño (1K-3K),1,1,Ninguno,Ninguno,Sí,Sí,Good,2024-08-15,2024,8,August,3,Thursday
49,39,36-50 (Adulto),Masculino,Soltero/a,No calificado - Residente,1 - 4 años,Propia,Seguro de vida / Ahorro,Sin cuenta corriente,< 100 DM,Cuenta crítica / créditos en otros bancos,Auto (Nuevo),7228,11,1,657.09,440,Muy Alto Riesgo (300-500),Grande (5K-10K),2,1,Ninguno,Ninguno,No,Sí,Good,2023-06-13,2023,6,June,2,Tuesday
50,28,26-35 (Adulto Joven),Femenino,Casado/a,Empleado calificado,1 - 4 años,Propia,Bienes raíces,Sin cuenta corriente,100 - 500 DM,Créditos existentes pagados puntualmente,Radio/Televisión,2073,12,4,172.75,557,Alto Riesgo (501-600),Pequeño (1K-3K),1,1,Co-solicitante,Ninguno,No,Sí,Good,2024-04-21,2024,4,April,2,Sunday
51,29,26-35 (Adulto Joven),Masculino,Soltero/a,No calificado - Residente,< 1 año,Propia,Seguro de vida / Ahorro,0 - 200 DM (Bajo balance),Sin cuenta de ahorro,Retraso en pagos pasados,Muebles/Equipamiento,2333,24,4,97.21,569,Alto Riesgo (501-600),Pequeño (1K-3K),1,1,Ninguno,Banco,No,Sí,Good,2023-07-26,2023,7,July,3,Wednesday
52,30,26-35 (Adulto Joven),Masculino,Soltero/a,Alta gerencia / Autónomo,>= 7 años,Propia,Auto u otros bienes,0 - 200 DM (Bajo balance),< 100 DM,Retraso en pagos pasados,Auto (Usado),5965,27,1,220.93,558,Alto Riesgo (501-600),Grande (5K-10K),2,1,Ninguno,Ninguno,Sí,Sí,Good,2025-02-17,2025,2,February,1,Monday
53,25,18-25 (Joven),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Propia,Auto u otros bienes,Sin cuenta corriente,< 100 DM,Créditos existentes pagados puntualmente,Radio/Televisión,1262,12,3,105.17,619,Riesgo Medio (601-700),Pequeño (1K-3K),1,1,Ninguno,Ninguno,No,Sí,Good,2024-07-23,2024,7,July,3,Tuesday
54,31,26-35 (Adulto Joven),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Propia,Seguro de vida / Ahorro,Sin cuenta corriente,Sin cuenta de ahorro,Créditos existentes pagados puntualmente,Auto (Usado),3378,18,2,187.67,628,Riesgo Medio (601-700),Mediano (3K-5K),1,1,Ninguno,Ninguno,Sí,Sí,Good,2025-07-17,2025,7,July,3,Thursday
55,57,50+ (Senior),Masculino,Soltero/a,Empleado calificado,>= 7 años,Gratuita,Sin propiedad conocida,0 - 200 DM (Bajo balance),< 100 DM,Retraso en pagos pasados,Auto (Nuevo),2225,36,4,61.81,600,Alto Riesgo (501-600),Pequeño (1K-3K),2,1,Ninguno,Banco,Sí,Sí,Bad,2025-01-17,2025,1,January,1,Friday
56,26,26-35 (Adulto Joven),Masculino,Soltero/a,No calificado - Residente,1 - 4 años,Propia,Bienes raíces,Sin cuenta corriente,Sin cuenta de ahorro,Todos créditos pagados en este banco,Auto (Nuevo),783,6,1,130.5,657,Riesgo Medio (601-700),Micro (<1K),1,2,Garante,Tiendas,No,Sí,Good,2023-11-30,2023,11,November,4,Thursday
57,52,50+ (Senior),Masculino,Soltero/a,Alta gerencia / Autónomo,Desempleado,Propia,Sin propiedad conocida,0 - 200 DM (Bajo balance),Sin cuenta de ahorro,Créditos existentes pagados puntualmente,Radio/Televisión,6468,12,2,539.0,524,Alto Riesgo (501-600),Grande (5K-10K),1,1,Ninguno,Ninguno,Sí,Sí,Bad,2025-01-28,2025,1,January,1,Tuesday
58,31,26-35 (Adulto Joven),Femenino,Casado/a,Empleado calificado,1 - 4 años,Propia,Auto u otros bienes,Sin cuenta corriente,< 100 DM,Cuenta crítica / créditos en otros bancos,Radio/Televisión,9566,36,2,265.72,450,Muy Alto Riesgo (300-500),Grande (5K-10K),2,1,Ninguno,Tiendas,No,Sí,Good,2024-12-28,2024,12,December,4,Saturday
59,23,18-25 (Joven),Femenino,Casado/a,Alta gerencia / Autónomo,>= 7 años,Propia,Auto u otros bienes,>= 200 DM (Buen balance),< 100 DM,Créditos existentes pagados puntualmente,Auto (Nuevo),1961,18,3,108.94,749,Bajo Riesgo (701-850),Pequeño (1K-3K),1,1,Ninguno,Ninguno,No,Sí,Good,2024-03-05,2024,3,March,1,Tuesday
60,23,18-25 (Joven),Femenino,Casado/a,No calificado - Residente,< 1 año,Alquiler,Sin propiedad conocida,< 0 DM (Sobregiro),< 100 DM,Cuenta crítica / créditos en otros bancos,Muebles/Equipamiento,6229,36,4,173.03,429,Muy Alto Riesgo (300-500),Grande (5K-10K),2,1,Co-solicitante,Ninguno,Sí,Sí,Bad,2024-06-30,2024,6,June,2,Sunday
61,27,26-35 (Adulto Joven),Masculino,Casado/a,Empleado calificado,1 - 4 años,Propia,Bienes raíces,0 - 200 DM (Bajo balance),< 100 DM,Créditos existentes pagados puntualmente,Negocio,1391,9,2,154.56,635,Riesgo Medio (601-700),Pequeño (1K-3K),1,1,Ninguno,Banco,Sí,Sí,Good,2023-05-27,2023,5,May,2,Saturday
62,50,36-50 (Adulto),Masculino,Soltero/a,Empleado calificado,>= 7 años,Propia,Bienes raíces,0 - 200 DM (Bajo balance),Sin cuenta de ahorro,Cuenta crítica / créditos en otros bancos,Radio/Televisión,1537,15,4,102.47,594,Alto Riesgo (501-600),Pequeño (1K-3K),2,1,Garante,Ninguno,Sí,Sí,Good,2023-12-17,2023,12,December,4,Sunday
63,61,50+ (Senior),Masculino,Soltero/a,Alta gerencia / Autónomo,>= 7 años,Gratuita,Sin propiedad conocida,0 - 200 DM (Bajo balance),< 100 DM,Sin créditos / todos pagados,Negocio,1953,36,4,54.25,666,Riesgo Medio (601-700),Pequeño (1K-3K),1,1,Ninguno,Ninguno,Sí,Sí,Bad,2025-12-29,2025,12,December,4,Monday
64,25,18-25 (Joven),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Propia,Auto u otros bienes,0 - 200 DM (Bajo balance),< 100 DM,Sin créditos / todos pagados,Negocio,14421,48,2,300.44,624,Riesgo Medio (601-700),Muy Grande (>10K),1,1,Ninguno,Ninguno,Sí,Sí,Bad,2024-05-16,2024,5,May,2,Thursday
65,26,26-35 (Adulto Joven),Femenino,Casado/a,Empleado calificado,< 1 año,Propia,Seguro de vida / Ahorro,Sin cuenta corriente,< 100 DM,Créditos existentes pagados puntualmente,Radio/Televisión,3181,24,4,132.54,604,Riesgo Medio (601-700),Mediano (3K-5K),1,1,Ninguno,Ninguno,Sí,Sí,Good,2023-12-01,2023,12,December,4,Friday
66,48,36-50 (Adulto),Masculino,Soltero/a,Empleado calificado,>= 7 años,Propia,Seguro de vida / Ahorro,Sin cuenta corriente,Sin cuenta de ahorro,Créditos existentes pagados puntualmente,Reparaciones,5190,27,4,192.22,690,Riesgo Medio (601-700),Grande (5K-10K),4,2,Ninguno,Ninguno,Sí,Sí,Good,2025-08-04,2025,8,August,3,Monday
67,29,26-35 (Adulto Joven),Femenino,Casado/a,Empleado calificado,< 1 año,Propia,Auto u otros bienes,Sin cuenta corriente,< 100 DM,Créditos existentes pagados puntualmente,Radio/Televisión,2171,12,2,180.92,577,Alto Riesgo (501-600),Pequeño (1K-3K),1,1,Ninguno,Banco,No,Sí,Good,2025-02-16,2025,2,February,1,Sunday
68,22,18-25 (Joven),Masculino,Casado/a,Empleado calificado,1 - 4 años,Propia,Bienes raíces,0 - 200 DM (Bajo balance),>= 1000 DM,Créditos existentes pagados puntualmente,Auto (Nuevo),1007,12,4,83.92,710,Bajo Riesgo (701-850),Pequeño (1K-3K),1,1,Ninguno,Ninguno,No,Sí,Good,2024-07-06,2024,7,July,3,Saturday
69,37,36-50 (Adulto),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Gratuita,Sin propiedad conocida,Sin cuenta corriente,< 100 DM,Créditos existentes pagados puntualmente,Educación,1819,36,4,50.53,590,Alto Riesgo (501-600),Pequeño (1K-3K),1,1,Ninguno,Tiendas,Sí,Sí,Bad,2024-03-25,2024,3,March,1,Monday
70,25,18-25 (Joven),Femenino,Casado/a,Empleado calificado,1 - 4 años,Propia,Auto u otros bienes,Sin cuenta corriente,Sin cuenta de ahorro,Créditos existentes pagados puntualmente,Radio/Televisión,2394,36,4,66.5,620,Riesgo Medio (601-700),Pequeño (1K-3K),1,1,Ninguno,Ninguno,No,Sí,Good,2024-10-26,2024,10,October,4,Saturday
71,30,26-35 (Adulto Joven),Femenino,Casado/a,Empleado calificado,1 - 4 años,Propia,Seguro de vida / Ahorro,Sin cuenta corriente,< 100 DM,Créditos existentes pagados puntualmente,Auto (Usado),8133,36,1,225.92,590,Alto Riesgo (501-600),Grande (5K-10K),1,1,Ninguno,Banco,No,Sí,Good,2023-04-25,2023,4,April,2,Tuesday
