ID_Prestamo,ID_Cliente,ID_Proposito,ID_Tiempo,Monto,Duracion,Tasa,Cuota_Mensual,Creditos_Existentes,Score_Cliente,Estado_Riesgo
48,1048,5,374,1352,6,1,225.33,1,511,Good
49,1049,4,98,7228,11,1,657.09,2,440,Good
50,1050,1,289,2073,12,4,172.75,1,557,Good
51,1051,3,124,2333,24,4,97.21,1,569,Good
52,1052,5,482,5965,27,1,220.93,2,558,Good
53,1053,1,357,1262,12,3,105.17,1,619,Good
54,1054,5,575,3378,18,2,187.67,1,628,Good
55,1055,4,469,2225,36,4,61.81,2,600,Bad
56,1056,4,206,783,6,1,130.5,1,657,Good
57,1057,1,473,6468,12,2,539.0,1,524,Bad
58,1058,1,459,9566,36,2,265.72,2,450,Good
59,1059,4,255,1961,18,3,108.94,1,749,Good
60,1060,3,339,6229,36,4,173.03,2,429,Bad
61,1061,6,88,1391,9,2,154.56,1,635,Good
62,1062,1,217,1537,15,4,102.47,2,594,Good
63,1063,6,672,1953,36,4,54.25,1,666,Bad
64,1064,6,307,14421,48,2,300.44,1,624,Bad
65,1065,1,207,3181,24,4,132.54,1,604,Good
66,1066,8,589,5190,27,4,192.22,4,690,Good
67,1067,1,481,2171,12,2,180.92,1,577,Good
68,1068,4,344,1007,12,4,83.92,1,710,Good
69,1069,2,271,1819,36,4,50.53,1,590,Bad
70,1070,1,420,2394,36,4,66.5,1,620,Good
71,1071,5,67,8133,36,1,225.92,1,590,Good
72,1072,1,283,730,7,4,104.29,2,566,Good
73,1073,9,40,1164,8,3,145.5,2,448,Good
74,1074,6,409,5954,42,2,141.76,2,596,Good
75,1075,2,507,1977,36,4,54.92,1,581,Bad
76,1076,5,341,1526,12,4,127.17,2,474,Good
77,1077,1,80,3965,42,4,94.4,1,592,Bad
78,1078,1,258,4771,11,2,433.73,1,541,Good
79,1079,5,408,9436,54,2,174.74,1,652,Good
80,1080,3,261,3832,30,2,127.73,1,560,Good
81,1081,1,634,5943,24,1,247.62,2,543,Bad
82,1082,1,499,1213,15,4,80.87,1,690,Good
83,1083,6,583,1568,18,3,87.11,1,644,Good
84,1084,9,176,1755,24,4,73.12,1,644,Good
85,1085,1,336,2315,10,3,231.5,1,575,Good
86,1086,6,172,1412,12,4,117.67,2,474,Good
87,1087,3,310,1295,18,4,71.94,2,557,Good
88,1088,2,332,12612,36,1,350.33,1,569,Bad
89,1089,4,542,2249,18,4,124.94,1,594,Good
90,1090,8,504,1108,12,4,92.33,2,695,Bad
91,1091,1,465,618,12,4,51.5,1,562,Good
92,1092,5,271,1409,12,4,117.42,1,539,Good
93,1093,1,171,797,12,4,66.42,1,538,Bad
94,1094,3,648,3617,24,4,150.71,2,570,Good
95,1095,4,627,1318,12,4,109.83,1,678,Good
96,1096,6,112,15945,54,3,295.28,1,546,Bad
97,1097,2,57,2012,12,4,167.67,1,518,Good
98,1098,6,137,2622,18,4,145.67,1,657,Good
99,1099,1,190,2337,36,4,64.92,1,600,Good
100,1100,5,202,7057,20,3,352.85,2,502,Good
101,1101,4,533,1469,24,4,61.21,1,597,Good
102,1102,1,77,2323,36,4,64.53,1,647,Good
103,1103,1,491,932,6,3,155.33,1,509,Good
104,1104,3,485,1919,9,4,213.22,1,485,Good
105,1105,5,596,2445,12,2,203.75,1,535,Good
106,1106,9,666,11938,24,2,497.42,2,512,Bad
107,1107,4,319,6458,18,2,358.78,2,696,Bad
108,1108,4,16,6078,12,2,506.5,1,645,Good
109,1109,3,142,7721,24,1,321.71,1,537,Good
110,1110,6,339,1410,14,1,100.71,1,717,Good
111,1111,6,442,1449,6,1,241.5,2,512,Good
112,1112,2,138,392,15,4,26.13,1,659,Good
113,1113,4,379,6260,18,3,347.78,1,601,Good
114,1114,4,551,7855,36,4,218.19,2,533,Bad
115,1115,1,198,1680,12,3,140.0,1,624,Good
116,1116,1,576,3578,48,4,74.54,1,569,Good
117,1117,1,7,7174,42,4,170.81,1,608,Bad
118,1118,3,333,2132,10,2,213.2,2,364,Good
119,1119,3,636,4281,33,1,129.73,2,504,Bad
120,1120,4,224,2366,12,3,197.17,1,572,Good
121,1121,1,645,1835,21,3,87.38,2,643,Bad
122,1122,5,131,3868,24,4,161.17,2,462,Good
123,1123,3,386,1768,12,3,147.33,1,612,Good
124,1124,4,645,781,10,4,78.1,2,547,Good
125,1125,3,248,1924,18,4,106.89,1,597,Bad
126,1126,4,190,2121,12,4,176.75,2,535,Good
127,1127,1,475,701,12,4,58.42,1,590,Good
128,1128,8,204,639,12,4,53.25,1,663,Bad
129,1129,5,667,1860,12,4,155.0,2,462,Good
130,1130,4,2,3499,12,3,291.58,2,424,Bad
131,1131,4,419,8487,48,1,176.81,1,623,Good
132,1132,2,622,6887,36,4,191.31,1,502,Bad
133,1133,3,22,2708,15,2,180.53,2,548,Good
134,1134,3,139,1984,18,4,110.22,2,564,Good
135,1135,1,466,10144,60,2,169.07,1,602,Good
136,1136,1,398,1240,12,4,103.33,2,606,Good
137,1137,5,298,8613,27,2,319.0,2,466,Good
138,1138,1,70,766,12,4,63.83,1,670,Bad
139,1139,1,301,2728,15,4,181.87,3,574,Good
140,1140,1,97,1881,12,2,156.75,1,623,Good
141,1141,4,106,709,6,2,118.17,1,676,Good
142,1142,1,618,4795,36,4,133.19,1,659,Good
143,1143,1,84,3416,27,3,126.52,1,541,Good
144,1144,3,669,2462,18,2,136.78,1,595,Bad
145,1145,3,155,2288,21,4,108.95,1,467,Good
146,1146,6,160,3566,48,4,74.29,1,743,Good
147,1147,4,605,860,6,1,143.33,2,472,Good
148,1148,4,211,682,12,4,56.83,2,500,Good
149,1149,3,336,5371,36,3,149.19,2,485,Good
150,1150,1,665,1582,18,4,87.89,2,568,Good
151,1151,1,535,1346,6,2,224.33,1,597,Good
152,1152,1,259,1924,10,1,192.4,1,620,Good
153,1153,1,250,5848,36,4,162.44,1,679,Good
154,1154,5,405,7758,24,2,323.25,1,506,Good
155,1155,6,504,6967,24,4,290.29,1,518,Good
156,1156,3,474,1282,12,2,106.83,1,558,Bad
157,1157,8,556,1288,9,3,143.11,2,565,Good
158,1158,10,655,339,12,4,28.25,1,694,Good
159,1159,4,574,3512,24,2,146.33,2,634,Good
160,1160,1,150,1898,6,1,316.33,2,479,Good
161,1161,1,312,2872,24,3,119.67,1,500,Good
162,1162,4,278,1055,18,4,58.61,2,513,Good
163,1163,7,78,1262,15,4,84.13,2,694,Good
164,1164,4,439,7308,10,2,730.8,1,435,Good
165,1165,4,26,909,36,4,25.25,1,708,Good
166,1166,3,284,2978,6,1,496.33,1,592,Good
167,1167,3,272,1131,18,4,62.83,1,574,Bad
168,1168,3,12,1577,11,4,143.36,1,676,Good
169,1169,3,87,3972,24,2,165.5,1,582,Good
170,1170,6,72,1935,24,4,80.62,2,577,Bad
171,1171,4,282,950,15,4,63.33,2,633,Bad
172,1172,3,81,763,12,4,63.58,1,615,Good
173,1173,3,39,2064,24,3,86.0,1,517,Bad
174,1174,1,427,1414,8,4,176.75,1,660,Good
175,1175,2,87,3414,21,2,162.57,2,478,Bad
176,1176,5,651,7485,30,4,249.5,1,554,Bad
177,1177,3,295,2577,12,2,214.75,1,590,Good
178,1178,1,358,338,6,4,56.33,2,583,Good
179,1179,1,617,1963,12,4,163.58,2,582,Good
180,1180,4,264,571,21,4,27.19,2,621,Good
181,1181,6,164,9572,36,1,265.89,2,478,Bad
182,1182,6,602,4455,36,2,123.75,2,534,Bad
183,1183,4,303,1647,21,4,78.43,2,607,Bad
184,1184,3,602,3777,24,4,157.38,1,504,Good
185,1185,4,514,884,18,4,49.11,1,593,Bad
186,1186,1,236,1360,15,4,90.67,2,541,Good
187,1187,5,117,5129,9,2,569.89,1,604,Bad
188,1188,4,118,1175,16,2,73.44,3,427,Good
189,1189,1,545,674,12,4,56.17,1,614,Bad
190,1190,3,457,3244,18,1,180.22,2,644,Good
191,1191,6,536,4591,24,2,191.29,3,596,Bad
192,1192,6,519,3844,48,4,80.08,1,705,Bad
193,1193,6,594,3915,27,4,145.0,1,656,Bad
194,1194,1,65,2108,6,2,351.33,1,522,Good
195,1195,1,120,3031,45,4,67.36,1,645,Bad
196,1196,2,75,1501,9,2,166.78,2,581,Bad
197,1197,1,508,1382,6,1,230.33,2,463,Good
198,1198,3,441,951,12,4,79.25,4,614,Bad
199,1199,5,136,2760,24,4,115.0,1,631,Good
200,1200,3,314,4297,18,4,238.72,1,535,Bad
201,1201,2,239,936,9,4,104.0,2,570,Good
202,1202,4,236,1168,12,4,97.33,1,636,Good
203,1203,6,569,5117,27,3,189.52,2,572,Good
204,1204,10,173,902,12,4,75.17,1,631,Bad
205,1205,4,533,1495,12,4,124.58,2,488,Good
206,1206,5,229,10623,30,3,354.1,3,391,Good
207,1207,3,358,1935,12,4,161.25,3,545,Good
208,1208,7,590,1424,12,4,118.67,1,565,Good
209,1209,6,316,6568,24,2,273.67,1,575,Good
210,1210,5,94,1413,12,3,117.75,1,745,Good
211,1211,1,564,3074,9,1,341.56,2,477,Good
212,1212,1,119,3835,36,2,106.53,1,684,Good
213,1213,6,60,5293,27,2,196.04,2,588,Bad
214,1214,6,19,1908,30,4,63.6,1,699,Bad
215,1215,1,116,3342,36,4,92.83,1,550,Good
216,1216,10,293,932,6,1,155.33,2,572,Good
217,1217,6,213,3104,18,3,172.44,1,626,Good
218,1218,1,513,3913,36,2,108.69,1,692,Good
219,1219,3,617,3021,24,2,125.88,1,535,Good
220,1220,4,610,1364,10,2,136.4,1,612,Good
221,1221,1,263,625,12,4,52.08,1,719,Good
222,1222,2,507,1200,12,4,100.0,1,523,Good
223,1223,1,72,707,12,4,58.92,2,660,Good
224,1224,6,210,2978,24,4,124.08,2,471,Good
225,1225,5,480,4657,15,3,310.47,1,565,Good
226,1226,8,5,2613,36,4,72.58,2,712,Good
227,1227,1,496,10961,48,1,228.35,2,641,Bad
228,1228,3,337,7865,12,4,655.42,1,477,Bad
229,1229,1,577,1478,9,4,164.22,1,608,Bad
230,1230,3,366,3149,24,4,131.21,1,520,Good
231,1231,1,535,4210,36,4,116.94,1,678,Bad
232,1232,4,619,2507,9,2,278.56,1,566,Good
233,1233,1,193,2141,12,3,178.42,1,631,Good
234,1234,1,235,866,18,4,48.11,1,660,Good
235,1235,1,384,1544,4,2,386.0,3,544,Good
236,1236,1,267,1823,24,4,75.96,1,569,Bad
237,1237,4,71,14555,6,1,2425.83,1,459,Bad
238,1238,6,75,2767,21,4,131.76,2,655,Bad
239,1239,1,406,1291,12,4,107.58,2,500,Good
240,1240,1,69,2522,30,1,84.07,1,685,Good
241,1241,4,59,915,24,4,38.12,1,636,Bad
242,1242,1,607,1595,6,3,265.83,1,596,Good
243,1243,5,639,4605,48,3,95.94,2,655,Bad
244,1244,6,668,1185,12,3,98.75,2,545,Good
245,1245,10,197,3447,12,4,287.25,1,563,Good
246,1246,6,68,1258,24,4,52.42,1,649,Good
247,1247,1,646,717,12,4,59.75,3,545,Good
248,1248,4,99,1204,6,4,200.67,1,590,Good
249,1249,3,232,1925,24,2,80.21,1,782,Good
250,1250,1,83,433,18,3,24.06,1,542,Bad
251,1251,4,82,666,6,3,111.0,2,482,Good
252,1252,3,292,2251,12,1,187.58,1,727,Good
253,1253,4,509,2150,30,4,71.67,1,743,Bad
254,1254,3,149,4151,24,2,172.96,2,550,Good
255,1255,3,309,2030,9,2,225.56,1,594,Good
256,1256,1,48,7418,60,1,123.63,1,545,Good
257,1257,1,102,2684,24,4,111.83,2,528,Good
258,1258,1,528,2149,12,4,179.08,1,528,Bad
259,1259,5,662,3812,15,1,254.13,1,563,Good
260,1260,1,410,1154,11,4,104.91,3,473,Good
261,1261,3,330,1657,12,2,138.08,1,562,Good
262,1262,1,252,1603,24,4,66.79,1,658,Good
263,1263,4,407,5302,18,2,294.56,3,322,Good
264,1264,2,296,2748,12,2,229.0,3,409,Good
265,1265,4,337,1231,10,3,123.1,2,522,Good
266,1266,1,499,802,15,4,53.47,1,682,Bad
267,1267,6,162,6304,36,4,175.11,2,578,Good
268,1268,1,389,1533,24,4,63.88,1,567,Good
269,1269,4,581,8978,14,1,641.29,1,556,Bad
270,1270,1,410,999,24,4,41.62,2,683,Good
271,1271,4,89,2662,18,4,147.89,1,673,Good
272,1272,3,14,1402,12,3,116.83,1,426,Good
273,1273,4,582,12169,48,4,253.52,1,544,Good
274,1274,1,122,3060,48,4,63.75,2,700,Bad
275,1275,8,91,11998,30,1,399.93,1,500,Bad
276,1276,1,262,2697,9,1,299.67,1,593,Good
277,1277,1,643,2404,18,2,133.56,2,495,Good
278,1278,3,337,1262,12,2,105.17,1,641,Good
279,1279,3,165,4611,6,1,768.5,1,522,Bad
280,1280,1,451,1901,24,4,79.21,1,588,Good
281,1281,5,83,3368,15,3,224.53,2,463,Good
282,1282,3,306,1574,12,4,131.17,1,629,Good
283,1283,1,472,1445,18,4,80.28,1,817,Good
284,1284,3,365,1520,15,4,101.33,1,522,Good
285,1285,4,198,3878,24,4,161.58,1,563,Good
286,1286,4,556,10722,47,1,228.13,1,471,Good
287,1287,5,394,4788,48,4,99.75,1,635,Good
288,1288,9,666,7582,48,2,157.96,1,447,Good
289,1289,1,13,1092,12,4,91.0,2,688,Good
290,1290,1,388,1024,24,4,42.67,1,481,Bad
291,1291,6,128,1076,12,2,89.67,1,633,Good
292,1292,5,167,9398,36,1,261.06,1,535,Bad
293,1293,5,335,6419,24,2,267.46,2,402,Good
294,1294,5,144,4796,42,4,114.19,1,585,Good
295,1295,6,133,7629,48,4,158.94,2,540,Good
296,1296,3,194,9960,48,1,207.5,1,569,Bad
297,1297,5,348,4675,12,1,389.58,1,536,Good
298,1298,4,361,1287,10,4,128.7,1,659,Good
299,1299,3,257,2515,18,3,139.72,1,634,Good
300,1300,3,445,2745,21,3,130.71,2,568,Good
301,1301,4,251,672,6,1,112.0,1,545,Good
302,1302,1,334,3804,36,4,105.67,1,673,Bad
303,1303,4,642,1344,24,4,56.0,2,652,Bad
304,1304,4,622,1038,10,4,103.8,2,538,Good
305,1305,4,319,10127,48,2,210.98,1,399,Bad
306,1306,3,61,1543,6,4,257.17,1,583,Good
307,1307,5,114,4811,30,2,160.37,1,628,Good
308,1308,1,536,727,12,4,60.58,1,572,Bad
309,1309,3,355,1237,8,3,154.62,1,666,Bad
310,1310,4,54,276,9,4,30.67,1,633,Good
311,1311,9,8,5381,48,3,112.1,1,513,Good
312,1312,3,433,5511,24,4,229.62,1,612,Good
313,1313,3,161,3749,24,2,156.21,1,694,Good
314,1314,4,331,685,12,2,57.08,1,724,Bad
315,1315,4,204,1494,4,1,373.5,1,679,Good
316,1316,3,561,2746,36,4,76.28,1,680,Bad
317,1317,3,541,708,12,2,59.0,1,640,Good
318,1318,3,14,4351,24,1,181.29,1,640,Good
319,1319,2,139,701,12,4,58.42,2,529,Good
320,1320,3,94,3643,15,1,242.87,2,506,Good
321,1321,4,185,4249,30,4,141.63,2,462,Bad
322,1322,1,43,1938,24,4,80.75,1,607,Bad
323,1323,5,472,2910,24,2,121.25,1,525,Good
324,1324,3,183,2659,18,4,147.72,1,652,Good
325,1325,4,544,1028,18,4,57.11,2,489,Good
326,1326,4,159,3398,8,1,424.75,2,423,Good
327,1327,3,51,5801,12,2,483.42,1,494,Good
328,1328,4,399,1525,24,4,63.54,1,683,Good
329,1329,1,468,4473,36,4,124.25,1,758,Good
330,1330,1,48,1068,6,4,178.0,1,708,Good
331,1331,5,460,6615,24,2,275.62,2,309,Good
332,1332,2,256,1864,18,4,103.56,2,493,Bad
333,1333,4,316,7408,60,4,123.47,1,622,Bad
334,1334,5,127,11590,48,2,241.46,2,399,Bad
335,1335,3,456,4110,24,3,171.25,2,659,Bad
336,1336,3,513,3384,6,1,564.0,1,395,Bad
337,1337,1,192,2101,13,2,161.62,1,595,Good
338,1338,7,293,1275,15,4,85.0,1,570,Bad
339,1339,3,205,4169,24,4,173.71,1,602,Good
340,1340,3,223,1521,10,4,152.1,1,633,Good
341,1341,2,521,5743,24,2,239.29,2,385,Good
342,1342,3,29,3599,21,1,171.38,1,577,Good
343,1343,1,225,3213,18,1,178.5,1,587,Good
344,1344,6,431,4439,18,1,246.61,1,644,Good
345,1345,4,520,3949,10,1,394.9,1,625,Good
346,1346,1,313,1459,15,4,97.27,1,526,Good
347,1347,1,339,882,13,4,67.85,2,486,Good
348,1348,1,201,3758,24,1,156.58,1,497,Good
349,1349,6,134,1743,6,1,290.5,2,468,Good
350,1350,2,486,1136,9,4,126.22,2,503,Bad
351,1351,7,46,1236,9,1,137.33,1,549,Good
352,1352,3,600,959,9,1,106.56,1,724,Bad
353,1353,5,274,3229,18,2,179.39,1,445,Good
354,1354,1,249,6199,12,4,516.58,2,555,Bad
355,1355,2,586,727,10,4,72.7,1,619,Good
356,1356,4,452,1246,24,4,51.92,1,619,Bad
357,1357,1,396,2331,12,1,194.25,1,529,Good
358,1358,1,281,4463,36,4,123.97,2,511,Bad
359,1359,1,275,776,12,4,64.67,1,649,Good
360,1360,3,28,2406,30,4,80.2,1,575,Bad
361,1361,2,242,1239,18,4,68.83,1,635,Good
362,1362,1,503,3399,12,2,283.25,1,755,Good
363,1363,4,425,2247,12,2,187.25,2,606,Good
364,1364,3,358,1766,6,1,294.33,1,552,Good
365,1365,3,85,2473,18,4,137.39,1,540,Bad
366,1366,6,359,1542,12,2,128.5,1,617,Good
367,1367,5,453,3850,18,3,213.89,2,486,Good
368,1368,3,648,3650,18,1,202.78,1,520,Good
369,1369,3,505,3446,36,4,95.72,1,662,Bad
370,1370,3,429,3001,18,2,166.72,1,606,Good
371,1371,4,34,3079,36,4,85.53,1,640,Good
372,1372,1,144,6070,18,3,337.22,2,514,Good
373,1373,3,330,2146,10,1,214.6,2,463,Good
374,1374,4,224,13756,60,2,229.27,1,468,Good
375,1375,9,337,14782,60,3,246.37,2,684,Bad
376,1376,6,45,7685,48,2,160.1,1,566,Bad
377,1377,1,135,2320,18,2,128.89,2,476,Good
378,1378,1,550,846,7,3,120.86,1,505,Good
379,1379,4,448,14318,36,4,397.72,1,665,Bad
380,1380,4,406,362,6,4,60.33,2,495,Good
381,1381,3,554,2212,20,4,110.6,1,584,Good
382,1382,5,650,12976,18,3,720.89,1,442,Bad
383,1383,4,144,1283,22,4,58.32,1,556,Good
384,1384,4,491,1330,12,4,110.83,1,654,Good
385,1385,6,236,4272,30,2,142.4,2,497,Good
386,1386,1,323,2238,18,2,124.33,2,494,Good
387,1387,1,54,1126,18,4,62.56,1,580,Good
388,1388,3,554,7374,18,4,409.67,2,486,Good
389,1389,6,4,2326,15,2,155.07,1,558,Good
390,1390,6,659,1449,9,3,161.0,2,612,Good
391,1391,4,245,1820,18,2,101.11,1,613,Good
392,1392,3,467,983,12,1,81.92,1,624,Good
393,1393,4,546,3249,36,2,90.25,1,540,Good
394,1394,1,86,1957,6,1,326.17,1,514,Good
395,1395,3,427,2406,9,2,267.33,1,425,Good
396,1396,2,406,11760,39,2,301.54,1,495,Good
397,1397,3,154,2578,12,3,214.83,1,408,Good
398,1398,3,390,2348,36,3,65.22,2,540,Good
399,1399,4,644,1223,12,1,101.92,2,676,Bad
400,1400,1,401,1516,24,4,63.17,2,557,Good
401,1401,1,517,1473,18,3,81.83,1,562,Good
402,1402,6,422,1887,18,4,104.83,2,542,Good
403,1403,6,508,8648,24,2,360.33,2,460,Bad
404,1404,4,382,802,14,4,57.29,2,551,Good
405,1405,4,158,2899,18,4,161.06,1,586,Good
406,1406,1,239,2039,24,1,84.96,1,668,Bad
407,1407,5,531,2197,24,4,91.54,2,507,Good
408,1408,1,480,1053,15,4,70.2,1,585,Good
409,1409,1,219,3235,24,3,134.79,1,653,Good
410,1410,4,391,939,12,4,78.25,3,645,Bad
411,1411,1,512,1967,24,4,81.96,1,741,Good
412,1412,5,1,7253,33,3,219.79,2,446,Good
413,1413,6,395,2292,12,4,191.0,2,373,Bad
414,1414,4,369,1597,10,3,159.7,1,608,Good
415,1415,4,256,1381,24,4,57.54,1,629,Bad
416,1416,5,544,5842,36,2,162.28,2,507,Good
417,1417,4,416,2579,12,4,214.92,1,606,Bad
418,1418,2,592,8471,18,1,470.61,2,433,Good
419,1419,4,561,2782,21,1,132.48,1,665,Good
420,1420,4,562,1042,18,4,57.89,1,682,Bad
421,1421,4,263,3186,15,2,212.4,1,651,Good
422,1422,5,649,2028,12,4,169.0,1,702,Good
423,1423,4,603,958,12,2,79.83,2,572,Good
424,1424,3,215,1591,21,4,75.76,2,599,Good
425,1425,3,104,2762,12,1,230.17,1,679,Bad
426,1426,5,363,2779,18,1,154.39,1,651,Good
427,1427,1,653,2743,28,4,97.96,2,531,Good
428,1428,1,434,1149,18,4,63.83,2,540,Good
429,1429,3,116,1313,9,1,145.89,1,681,Good
430,1430,8,292,1190,18,2,66.11,3,317,Bad
431,1431,6,402,3448,5,1,689.6,1,534,Good
432,1432,9,278,11328,24,2,472.0,2,558,Bad
433,1433,3,248,1872,6,4,312.0,3,301,Good
434,1434,8,181,2058,24,4,85.75,2,541,Good
435,1435,3,29,2136,9,3,237.33,1,605,Good
436,1436,1,56,1484,12,2,123.67,1,652,Bad
437,1437,8,307,660,6,2,110.0,1,668,Good
438,1438,4,605,1287,24,4,53.62,2,518,Good
439,1439,8,90,3394,42,4,80.81,2,378,Good
440,1440,6,578,609,12,4,50.75,1,718,Bad
441,1441,4,523,1884,12,4,157.0,1,661,Good
442,1442,3,244,1620,12,2,135.0,1,589,Good
443,1443,9,489,2629,20,2,131.45,2,497,Good
444,1444,2,629,719,12,4,59.92,1,677,Bad
445,1445,3,505,5096,48,2,106.17,1,490,Bad
446,1446,2,305,1244,9,4,138.22,2,510,Good
447,1447,4,182,1842,36,4,51.17,1,600,Bad
448,1448,1,9,2576,7,2,368.0,1,591,Good
449,1449,3,132,1424,12,3,118.67,1,724,Good
450,1450,8,538,1512,15,3,100.8,2,558,Bad
451,1451,5,270,11054,36,4,307.06,1,458,Good
452,1452,1,222,518,6,3,86.33,1,668,Good
453,1453,3,656,2759,12,2,229.92,2,630,Good
454,1454,5,591,2670,24,4,111.25,1,665,Good
455,1455,4,59,4817,24,2,200.71,1,594,Bad
456,1456,5,315,2679,24,4,111.62,1,556,Good
457,1457,4,151,3905,11,2,355.0,2,396,Good
458,1458,5,579,3386,12,3,282.17,1,508,Bad
459,1459,7,166,343,6,4,57.17,1,573,Good
460,1460,1,591,4594,18,3,255.22,1,514,Good
461,1461,3,668,3620,36,1,100.56,1,678,Good
462,1462,4,412,1721,15,2,114.73,1,561,Good
463,1463,3,563,3017,12,3,251.42,1,529,Good
464,1464,10,640,754,12,4,62.83,2,726,Good
465,1465,6,540,1950,18,4,108.33,2,626,Good
466,1466,5,566,2924,24,3,121.83,1,583,Good
467,1467,1,200,1659,24,4,69.12,1,478,Bad
468,1468,1,604,7238,48,3,150.79,2,582,Good
469,1469,6,571,2764,33,2,83.76,2,534,Good
470,1470,5,328,4679,24,3,194.96,2,522,Good
471,1471,1,311,3092,24,3,128.83,1,571,Bad
472,1472,2,356,448,6,4,74.67,1,520,Bad
473,1473,4,660,654,9,4,72.67,1,574,Bad
474,1474,10,616,1238,6,4,206.33,1,581,Good
475,1475,1,297,1245,18,4,69.17,1,609,Bad
476,1476,3,352,3114,18,1,173.0,1,552,Bad
477,1477,5,558,2569,39,4,65.87,1,657,Good
478,1478,1,96,5152,24,4,214.67,1,699,Good
479,1479,6,367,1037,12,3,86.42,1,792,Good
480,1480,3,291,1478,15,4,98.53,2,573,Good
481,1481,1,347,3573,12,1,297.75,1,496,Good
482,1482,4,435,1201,24,4,50.04,1,621,Good
483,1483,3,414,3622,30,4,120.73,2,541,Good
484,1484,3,100,960,15,3,64.0,2,576,Good
485,1485,4,171,1163,12,4,96.92,1,497,Good
486,1486,4,186,1209,6,4,201.5,1,447,Bad
487,1487,1,286,3077,12,2,256.42,1,560,Good
488,1488,4,487,3757,24,4,156.54,1,557,Good
489,1489,4,189,1418,10,3,141.8,1,620,Good
490,1490,4,264,3518,6,2,586.33,1,536,Good
491,1491,1,78,1934,12,2,161.17,2,529,Good
492,1492,6,524,8318,27,2,308.07,2,684,Bad
493,1493,1,515,1237,6,1,206.17,2,492,Good
494,1494,1,428,368,6,4,61.33,1,694,Good
495,1495,4,593,2122,12,3,176.83,2,475,Good
496,1496,3,526,2996,24,2,124.83,1,606,Bad
497,1497,3,76,9034,36,4,250.94,1,518,Bad
498,1498,3,253,1585,24,4,66.04,2,534,Good
499,1499,1,530,1301,18,4,72.28,1,693,Good
500,1500,4,494,1323,6,2,220.5,2,578,Good
501,1501,4,23,3123,24,4,130.12,1,587,Bad
502,1502,5,483,5493,36,2,152.58,1,627,Good
503,1503,1,607,1126,9,2,125.11,1,698,Good
504,1504,1,10,1216,24,4,50.67,2,546,Bad
505,1505,4,454,1207,24,4,50.29,1,530,Bad
506,1506,4,386,1309,10,4,130.9,1,595,Bad
507,1507,5,495,2360,15,2,157.33,1,562,Good
508,1508,4,528,6850,15,1,456.67,1,544,Bad
509,1509,1,272,1413,24,4,58.88,1,641,Good
