ID_Cliente,Edad,Rango_Edad,Genero,Estado_Civil,Trabajo,Empleo_Desde,Vivienda,Propiedad,Status_Cuenta,Cuenta_Ahorro,Historial_Crediticio,Telefono,Extranjero,Personas_Dependientes,Otros_Deudores,Otros_Planes_Cuota,Categoria_Score,Rango_Monto
1011,25,18-25 (Joven),Femenino,Casado/a,Empleado calificado,< 1 año,Alquiler,Auto u otros bienes,0 - 200 DM (Bajo balance),< 100 DM,Créditos existentes pagados puntualmente,No,Sí,1,Ninguno,Ninguno,Alto Riesgo (501-600),Pequeño (1K-3K)
1012,24,18-25 (Joven),Femenino,Casado/a,Empleado calificado,< 1 año,Alquiler,Seguro de vida / Ahorro,< 0 DM (Sobregiro),< 100 DM,Créditos existentes pagados puntualmente,No,Sí,1,Ninguno,Ninguno,Alto Riesgo (501-600),Mediano (3K-5K)
1013,22,18-25 (Joven),Femenino,Casado/a,Empleado calificado,1 - 4 años,Propia,Auto u otros bienes,0 - 200 DM (Bajo balance),< 100 DM,Créditos existentes pagados puntualmente,Sí,Sí,1,Ninguno,Ninguno,Riesgo Medio (601-700),Pequeño (1K-3K)
1014,60,50+ (Senior),Masculino,Soltero/a,No calificado - Residente,>= 7 años,Propia,Auto u otros bienes,< 0 DM (Sobregiro),< 100 DM,Cuenta crítica / créditos en otros bancos,No,Sí,1,Ninguno,Ninguno,Muy Alto Riesgo (300-500),Pequeño (1K-3K)
1015,28,26-35 (Adulto Joven),Femenino,Casado/a,Empleado calificado,1 - 4 años,Alquiler,Auto u otros bienes,< 0 DM (Sobregiro),< 100 DM,Créditos existentes pagados puntualmente,No,Sí,1,Ninguno,Ninguno,Alto Riesgo (501-600),Pequeño (1K-3K)
1016,32,26-35 (Adulto Joven),Femenino,Casado/a,No calificado - Residente,1 - 4 años,Propia,Auto u otros bienes,< 0 DM (Sobregiro),100 - 500 DM,Créditos existentes pagados puntualmente,No,Sí,1,Ninguno,Ninguno,Riesgo Medio (601-700),Pequeño (1K-3K)
1017,53,50+ (Senior),Masculino,Soltero/a,Empleado calificado,>= 7 años,Propia,Seguro de vida / Ahorro,Sin cuenta corriente,Sin cuenta de ahorro,Cuenta crítica / créditos en otros bancos,No,Sí,1,Ninguno,Ninguno,Alto Riesgo (501-600),Pequeño (1K-3K)
1018,25,18-25 (Joven),Masculino,Soltero/a,Empleado calificado,< 1 año,Propia,Auto u otros bienes,< 0 DM (Sobregiro),Sin cuenta de ahorro,Sin créditos / todos pagados,No,Sí,1,Ninguno,Banco,Alto Riesgo (501-600),Grande (5K-10K)
1019,44,36-50 (Adulto),Femenino,Casado/a,Alta gerencia / Autónomo,>= 7 años,Gratuita,Sin propiedad conocida,0 - 200 DM (Bajo balance),< 100 DM,Créditos existentes pagados puntualmente,Sí,Sí,1,Ninguno,Ninguno,Alto Riesgo (501-600),Muy Grande (>10K)
1020,31,26-35 (Adulto Joven),Masculino,Soltero/a,Empleado calificado,>= 7 años,Propia,Auto u otros bienes,Sin cuenta corriente,500 - 1000 DM,Créditos existentes pagados puntualmente,Sí,Sí,2,Ninguno,Ninguno,Riesgo Medio (601-700),Mediano (3K-5K)
1021,48,36-50 (Adulto),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Propia,Auto u otros bienes,Sin cuenta corriente,< 100 DM,Cuenta crítica / créditos en otros bancos,Sí,Sí,1,Ninguno,Ninguno,Alto Riesgo (501-600),Pequeño (1K-3K)
1022,44,36-50 (Adulto),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Alquiler,Bienes raíces,< 0 DM (Sobregiro),500 - 1000 DM,Créditos existentes pagados puntualmente,No,Sí,2,Ninguno,Ninguno,Alto Riesgo (501-600),Pequeño (1K-3K)
1023,48,36-50 (Adulto),Masculino,Soltero/a,No calificado - Residente,< 1 año,Alquiler,Bienes raíces,< 0 DM (Sobregiro),< 100 DM,Cuenta crítica / créditos en otros bancos,No,No,2,Ninguno,Ninguno,Muy Alto Riesgo (300-500),Pequeño (1K-3K)
1024,44,36-50 (Adulto),Masculino,Soltero/a,Empleado calificado,< 1 año,Propia,Seguro de vida / Ahorro,0 - 200 DM (Bajo balance),100 - 500 DM,Cuenta crítica / créditos en otros bancos,No,Sí,1,Ninguno,Ninguno,Muy Alto Riesgo (300-500),Pequeño (1K-3K)
1025,26,26-35 (Adulto Joven),Masculino,Casado/a,Empleado calificado,1 - 4 años,Propia,Auto u otros bienes,Sin cuenta corriente,Sin cuenta de ahorro,Cuenta crítica / créditos en otros bancos,No,No,1,Ninguno,Ninguno,Muy Alto Riesgo (300-500),Pequeño (1K-3K)
1026,36,36-50 (Adulto),Masculino,Soltero/a,No calificado - Residente,1 - 4 años,Propia,Bienes raíces,< 0 DM (Sobregiro),< 100 DM,Créditos existentes pagados puntualmente,Sí,Sí,1,Ninguno,Banco,Alto Riesgo (501-600),Pequeño (1K-3K)
1027,39,36-50 (Adulto),Masculino,Casado/a,No calificado - Residente,>= 7 años,Propia,Auto u otros bienes,Sin cuenta corriente,< 100 DM,Sin créditos / todos pagados,No,Sí,1,Ninguno,Ninguno,Riesgo Medio (601-700),Micro (<1K)
1028,42,36-50 (Adulto),Femenino,Casado/a,Empleado calificado,1 - 4 años,Alquiler,Bienes raíces,>= 200 DM (Buen balance),>= 1000 DM,Todos créditos pagados en este banco,No,Sí,1,Ninguno,Ninguno,Bajo Riesgo (701-850),Micro (<1K)
1029,34,26-35 (Adulto Joven),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Propia,Bienes raíces,0 - 200 DM (Bajo balance),< 100 DM,Créditos existentes pagados puntualmente,No,Sí,1,Garante,Ninguno,Riesgo Medio (601-700),Pequeño (1K-3K)
1030,63,50+ (Senior),Masculino,Soltero/a,Empleado calificado,>= 7 años,Propia,Sin propiedad conocida,< 0 DM (Sobregiro),< 100 DM,Retraso en pagos pasados,Sí,Sí,1,Ninguno,Ninguno,Alto Riesgo (501-600),Grande (5K-10K)
1031,36,36-50 (Adulto),Masculino,Casado/a,Empleado calificado,< 1 año,Propia,Bienes raíces,0 - 200 DM (Bajo balance),>= 1000 DM,Créditos existentes pagados puntualmente,Sí,Sí,1,Ninguno,Banco,Riesgo Medio (601-700),Pequeño (1K-3K)
1032,27,26-35 (Adulto Joven),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Propia,Auto u otros bienes,< 0 DM (Sobregiro),< 100 DM,Créditos existentes pagados puntualmente,No,Sí,1,Ninguno,Tiendas,Riesgo Medio (601-700),Mediano (3K-5K)
1033,30,26-35 (Adulto Joven),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Propia,Auto u otros bienes,0 - 200 DM (Bajo balance),100 - 500 DM,Créditos existentes pagados puntualmente,Sí,Sí,1,Ninguno,Ninguno,Riesgo Medio (601-700),Grande (5K-10K)
1034,57,50+ (Senior),Masculino,Soltero/a,No calificado - Residente,>= 7 años,Alquiler,Sin propiedad conocida,Sin cuenta corriente,Sin cuenta de ahorro,Cuenta crítica / créditos en otros bancos,No,Sí,1,Ninguno,Ninguno,Muy Alto Riesgo (300-500),Pequeño (1K-3K)
1035,33,26-35 (Adulto Joven),Femenino,Casado/a,Alta gerencia / Autónomo,< 1 año,Propia,Seguro de vida / Ahorro,>= 200 DM (Buen balance),< 100 DM,Créditos existentes pagados puntualmente,Sí,Sí,1,Ninguno,Banco,Riesgo Medio (601-700),Pequeño (1K-3K)
1036,25,18-25 (Joven),Masculino,Soltero/a,No calificado - Residente,< 1 año,Propia,Seguro de vida / Ahorro,0 - 200 DM (Bajo balance),< 100 DM,Cuenta crítica / créditos en otros bancos,No,Sí,1,Ninguno,Ninguno,Muy Alto Riesgo (300-500),Mediano (3K-5K)
1037,31,26-35 (Adulto Joven),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Gratuita,Sin propiedad conocida,Sin cuenta corriente,< 100 DM,Cuenta crítica / créditos en otros bancos,Sí,Sí,1,Ninguno,Banco,Muy Alto Riesgo (300-500),Grande (5K-10K)
1038,37,36-50 (Adulto),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Propia,Bienes raíces,>= 200 DM (Buen balance),< 100 DM,Créditos existentes pagados puntualmente,No,Sí,1,Co-solicitante,Tiendas,Riesgo Medio (601-700),Pequeño (1K-3K)
1039,37,36-50 (Adulto),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Propia,Auto u otros bienes,>= 200 DM (Buen balance),< 100 DM,Créditos existentes pagados puntualmente,Sí,Sí,1,Ninguno,Ninguno,Riesgo Medio (601-700),Pequeño (1K-3K)
1040,24,18-25 (Joven),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Propia,Bienes raíces,0 - 200 DM (Bajo balance),< 100 DM,Créditos existentes pagados puntualmente,No,Sí,1,Ninguno,Ninguno,Riesgo Medio (601-700),Micro (<1K)
1041,30,26-35 (Adulto Joven),Masculino,Soltero/a,Alta gerencia / Autónomo,>= 7 años,Propia,Auto u otros bienes,Sin cuenta corriente,500 - 1000 DM,Créditos existentes pagados puntualmente,No,Sí,1,Ninguno,Banco,Bajo Riesgo (701-850),Pequeño (1K-3K)
1042,26,26-35 (Adulto Joven),Masculino,Divorciado/a,Empleado calificado,1 - 4 años,Propia,Auto u otros bienes,0 - 200 DM (Bajo balance),500 - 1000 DM,Créditos existentes pagados puntualmente,Sí,Sí,1,Ninguno,Ninguno,Riesgo Medio (601-700),Pequeño (1K-3K)
1043,44,36-50 (Adulto),Masculino,Soltero/a,No calificado - Residente,1 - 4 años,Propia,Bienes raíces,0 - 200 DM (Bajo balance),< 100 DM,Retraso en pagos pasados,Sí,Sí,2,Ninguno,Ninguno,Alto Riesgo (501-600),Grande (5K-10K)
1044,24,18-25 (Joven),Masculino,Casado/a,Empleado calificado,4 - 7 años,Alquiler,Auto u otros bienes,< 0 DM (Sobregiro),100 - 500 DM,Cuenta crítica / créditos en otros bancos,No,Sí,1,Ninguno,Ninguno,Muy Alto Riesgo (300-500),Grande (5K-10K)
1045,58,50+ (Senior),Femenino,Casado/a,No calificado - Residente,>= 7 años,Gratuita,Sin propiedad conocida,< 0 DM (Sobregiro),< 100 DM,Cuenta crítica / créditos en otros bancos,No,Sí,1,Ninguno,Tiendas,Muy Alto Riesgo (300-500),Grande (5K-10K)
1046,35,26-35 (Adulto Joven),Femenino,Casado/a,Alta gerencia / Autónomo,< 1 año,Propia,Auto u otros bienes,Sin cuenta corriente,< 100 DM,Cuenta crítica / créditos en otros bancos,No,Sí,1,Ninguno,Ninguno,Muy Alto Riesgo (300-500),Pequeño (1K-3K)
1047,39,36-50 (Adulto),Masculino,Soltero/a,Empleado calificado,>= 7 años,Propia,Auto u otros bienes,Sin cuenta corriente,500 - 1000 DM,Créditos existentes pagados puntualmente,No,Sí,1,Ninguno,Ninguno,Riesgo Medio (601-700),Pequeño (1K-3K)
1048,23,18-25 (Joven),Femenino,Casado/a,Desempleado / No calificado - No residente,Desempleado,Alquiler,Seguro de vida / Ahorro,< 0 DM (Sobregiro),500 - 1000 DM,Créditos existentes pagados puntualmente,Sí,Sí,1,Ninguno,Ninguno,Alto Riesgo (501-600),Pequeño (1K-3K)
1049,39,36-50 (Adulto),Masculino,Soltero/a,No calificado - Residente,1 - 4 años,Propia,Seguro de vida / Ahorro,Sin cuenta corriente,< 100 DM,Cuenta crítica / créditos en otros bancos,No,Sí,1,Ninguno,Ninguno,Muy Alto Riesgo (300-500),Grande (5K-10K)
1050,28,26-35 (Adulto Joven),Femenino,Casado/a,Empleado calificado,1 - 4 años,Propia,Bienes raíces,Sin cuenta corriente,100 - 500 DM,Créditos existentes pagados puntualmente,No,Sí,1,Co-solicitante,Ninguno,Alto Riesgo (501-600),Pequeño (1K-3K)
1051,29,26-35 (Adulto Joven),Masculino,Soltero/a,No calificado - Residente,< 1 año,Propia,Seguro de vida / Ahorro,0 - 200 DM (Bajo balance),Sin cuenta de ahorro,Retraso en pagos pasados,No,Sí,1,Ninguno,Banco,Alto Riesgo (501-600),Pequeño (1K-3K)
1052,30,26-35 (Adulto Joven),Masculino,Soltero/a,Alta gerencia / Autónomo,>= 7 años,Propia,Auto u otros bienes,0 - 200 DM (Bajo balance),< 100 DM,Retraso en pagos pasados,Sí,Sí,1,Ninguno,Ninguno,Alto Riesgo (501-600),Grande (5K-10K)
1053,25,18-25 (Joven),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Propia,Auto u otros bienes,Sin cuenta corriente,< 100 DM,Créditos existentes pagados puntualmente,No,Sí,1,Ninguno,Ninguno,Riesgo Medio (601-700),Pequeño (1K-3K)
1054,31,26-35 (Adulto Joven),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Propia,Seguro de vida / Ahorro,Sin cuenta corriente,Sin cuenta de ahorro,Créditos existentes pagados puntualmente,Sí,Sí,1,Ninguno,Ninguno,Riesgo Medio (601-700),Mediano (3K-5K)
1055,57,50+ (Senior),Masculino,Soltero/a,Empleado calificado,>= 7 años,Gratuita,Sin propiedad conocida,0 - 200 DM (Bajo balance),< 100 DM,Retraso en pagos pasados,Sí,Sí,1,Ninguno,Banco,Alto Riesgo (501-600),Pequeño (1K-3K)
1056,26,26-35 (Adulto Joven),Masculino,Soltero/a,No calificado - Residente,1 - 4 años,Propia,Bienes raíces,Sin cuenta corriente,Sin cuenta de ahorro,Todos créditos pagados en este banco,No,Sí,2,Garante,Tiendas,Riesgo Medio (601-700),Micro (<1K)
1057,52,50+ (Senior),Masculino,Soltero/a,Alta gerencia / Autónomo,Desempleado,Propia,Sin propiedad conocida,0 - 200 DM (Bajo balance),Sin cuenta de ahorro,Créditos existentes pagados puntualmente,Sí,Sí,1,Ninguno,Ninguno,Alto Riesgo (501-600),Grande (5K-10K)
1058,31,26-35 (Adulto Joven),Femenino,Casado/a,Empleado calificado,1 - 4 años,Propia,Auto u otros bienes,Sin cuenta corriente,< 100 DM,Cuenta crítica / créditos en otros bancos,No,Sí,1,Ninguno,Tiendas,Muy Alto Riesgo (300-500),Grande (5K-10K)
1059,23,18-25 (Joven),Femenino,Casado/a,Alta gerencia / Autónomo,>= 7 años,Propia,Auto u otros bienes,>= 200 DM (Buen balance),< 100 DM,Créditos existentes pagados puntualmente,No,Sí,1,Ninguno,Ninguno,Bajo Riesgo (701-850),Pequeño (1K-3K)
1060,23,18-25 (Joven),Femenino,Casado/a,No calificado - Residente,< 1 año,Alquiler,Sin propiedad conocida,< 0 DM (Sobregiro),< 100 DM,Cuenta crítica / créditos en otros bancos,Sí,Sí,1,Co-solicitante,Ninguno,Muy Alto Riesgo (300-500),Grande (5K-10K)
1061,27,26-35 (Adulto Joven),Masculino,Casado/a,Empleado calificado,1 - 4 años,Propia,Bienes raíces,0 - 200 DM (Bajo balance),< 100 DM,Créditos existentes pagados puntualmente,Sí,Sí,1,Ninguno,Banco,Riesgo Medio (601-700),Pequeño (1K-3K)
1062,50,36-50 (Adulto),Masculino,Soltero/a,Empleado calificado,>= 7 años,Propia,Bienes raíces,0 - 200 DM (Bajo balance),Sin cuenta de ahorro,Cuenta crítica / créditos en otros bancos,Sí,Sí,1,Garante,Ninguno,Alto Riesgo (501-600),Pequeño (1K-3K)
1063,61,50+ (Senior),Masculino,Soltero/a,Alta gerencia / Autónomo,>= 7 años,Gratuita,Sin propiedad conocida,0 - 200 DM (Bajo balance),< 100 DM,Sin créditos / todos pagados,Sí,Sí,1,Ninguno,Ninguno,Riesgo Medio (601-700),Pequeño (1K-3K)
1064,25,18-25 (Joven),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Propia,Auto u otros bienes,0 - 200 DM (Bajo balance),< 100 DM,Sin créditos / todos pagados,Sí,Sí,1,Ninguno,Ninguno,Riesgo Medio (601-700),Muy Grande (>10K)
1065,26,26-35 (Adulto Joven),Femenino,Casado/a,Empleado calificado,< 1 año,Propia,Seguro de vida / Ahorro,Sin cuenta corriente,< 100 DM,Créditos existentes pagados puntualmente,Sí,Sí,1,Ninguno,Ninguno,Riesgo Medio (601-700),Mediano (3K-5K)
1066,48,36-50 (Adulto),Masculino,Soltero/a,Empleado calificado,>= 7 años,Propia,Seguro de vida / Ahorro,Sin cuenta corriente,Sin cuenta de ahorro,Créditos existentes pagados puntualmente,Sí,Sí,2,Ninguno,Ninguno,Riesgo Medio (601-700),Grande (5K-10K)
1067,29,26-35 (Adulto Joven),Femenino,Casado/a,Empleado calificado,< 1 año,Propia,Auto u otros bienes,Sin cuenta corriente,< 100 DM,Créditos existentes pagados puntualmente,No,Sí,1,Ninguno,Banco,Alto Riesgo (501-600),Pequeño (1K-3K)
1068,22,18-25 (Joven),Masculino,Casado/a,Empleado calificado,1 - 4 años,Propia,Bienes raíces,0 - 200 DM (Bajo balance),>= 1000 DM,Créditos existentes pagados puntualmente,No,Sí,1,Ninguno,Ninguno,Bajo Riesgo (701-850),Pequeño (1K-3K)
1069,37,36-50 (Adulto),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Gratuita,Sin propiedad conocida,Sin cuenta corriente,< 100 DM,Créditos existentes pagados puntualmente,Sí,Sí,1,Ninguno,Tiendas,Alto Riesgo (501-600),Pequeño (1K-3K)
1070,25,18-25 (Joven),Femenino,Casado/a,Empleado calificado,1 - 4 años,Propia,Auto u otros bienes,Sin cuenta corriente,Sin cuenta de ahorro,Créditos existentes pagados puntualmente,No,Sí,1,Ninguno,Ninguno,Riesgo Medio (601-700),Pequeño (1K-3K)
1071,30,26-35 (Adulto Joven),Femenino,Casado/a,Empleado calificado,1 - 4 años,Propia,Seguro de vida / Ahorro,Sin cuenta corriente,< 100 DM,Créditos existentes pagados puntualmente,No,Sí,1,Ninguno,Banco,Alto Riesgo (501-600),Grande (5K-10K)
1072,46,36-50 (Adulto),Masculino,Soltero/a,No calificado - Residente,>= 7 años,Alquiler,Seguro de vida / Ahorro,Sin cuenta corriente,Sin cuenta de ahorro,Cuenta crítica / créditos en otros bancos,Sí,Sí,1,Ninguno,Ninguno,Alto Riesgo (501-600),Micro (<1K)
1073,51,50+ (Senior),Masculino,Soltero/a,Alta gerencia / Autónomo,>= 7 años,Gratuita,Sin propiedad conocida,< 0 DM (Sobregiro),< 100 DM,Cuenta crítica / créditos en otros bancos,Sí,Sí,2,Ninguno,Banco,Muy Alto Riesgo (300-500),Pequeño (1K-3K)
1074,41,36-50 (Adulto),Femenino,Casado/a,No calificado - Residente,4 - 7 años,Propia,Bienes raíces,0 - 200 DM (Bajo balance),< 100 DM,Cuenta crítica / créditos en otros bancos,No,Sí,1,Ninguno,Banco,Alto Riesgo (501-600),Grande (5K-10K)
1075,40,36-50 (Adulto),Masculino,Soltero/a,Alta gerencia / Autónomo,>= 7 años,Propia,Sin propiedad conocida,< 0 DM (Sobregiro),Sin cuenta de ahorro,Créditos existentes pagados puntualmente,Sí,Sí,1,Ninguno,Ninguno,Alto Riesgo (501-600),Pequeño (1K-3K)
1076,66,50+ (Senior),Masculino,Soltero/a,Alta gerencia / Autónomo,>= 7 años,Gratuita,Sin propiedad conocida,< 0 DM (Sobregiro),< 100 DM,Cuenta crítica / créditos en otros bancos,No,Sí,1,Ninguno,Ninguno,Muy Alto Riesgo (300-500),Pequeño (1K-3K)
1077,34,26-35 (Adulto Joven),Masculino,Soltero/a,Empleado calificado,< 1 año,Propia,Auto u otros bienes,< 0 DM (Sobregiro),< 100 DM,Créditos existentes pagados puntualmente,No,Sí,1,Ninguno,Ninguno,Alto Riesgo (501-600),Mediano (3K-5K)
1078,51,50+ (Senior),Masculino,Soltero/a,Empleado calificado,4 - 7 años,Propia,Seguro de vida / Ahorro,0 - 200 DM (Bajo balance),< 100 DM,Retraso en pagos pasados,No,Sí,1,Ninguno,Ninguno,Alto Riesgo (501-600),Mediano (3K-5K)
1079,39,36-50 (Adulto),Masculino,Soltero/a,No calificado - Residente,1 - 4 años,Propia,Seguro de vida / Ahorro,Sin cuenta corriente,Sin cuenta de ahorro,Sin créditos / todos pagados,No,Sí,2,Ninguno,Ninguno,Riesgo Medio (601-700),Grande (5K-10K)
1080,22,18-25 (Joven),Masculino,Casado/a,Empleado calificado,< 1 año,Propia,Seguro de vida / Ahorro,0 - 200 DM (Bajo balance),< 100 DM,Créditos existentes pagados puntualmente,No,Sí,1,Ninguno,Ninguno,Alto Riesgo (501-600),Mediano (3K-5K)
1081,44,36-50 (Adulto),Femenino,Casado/a,Empleado calificado,< 1 año,Propia,Auto u otros bienes,Sin cuenta corriente,Sin cuenta de ahorro,Créditos existentes pagados puntualmente,Sí,Sí,1,Ninguno,Ninguno,Alto Riesgo (501-600),Grande (5K-10K)
1082,47,36-50 (Adulto),Masculino,Soltero/a,Empleado calificado,>= 7 años,Propia,Seguro de vida / Ahorro,Sin cuenta corriente,500 - 1000 DM,Créditos existentes pagados puntualmente,Sí,Sí,1,Ninguno,Tiendas,Riesgo Medio (601-700),Pequeño (1K-3K)
1083,24,18-25 (Joven),Femenino,Casado/a,No calificado - Residente,1 - 4 años,Alquiler,Seguro de vida / Ahorro,Sin cuenta corriente,100 - 500 DM,Créditos existentes pagados puntualmente,No,Sí,1,Ninguno,Ninguno,Riesgo Medio (601-700),Pequeño (1K-3K)
1084,58,50+ (Senior),Femenino,Casado/a,No calificado - Residente,>= 7 años,Propia,Bienes raíces,< 0 DM (Sobregiro),< 100 DM,Créditos existentes pagados puntualmente,Sí,Sí,1,Garante,Ninguno,Riesgo Medio (601-700),Pequeño (1K-3K)
1085,52,50+ (Senior),Masculino,Soltero/a,No calificado - Residente,>= 7 años,Propia,Bienes raíces,< 0 DM (Sobregiro),< 100 DM,Créditos existentes pagados puntualmente,No,Sí,1,Ninguno,Ninguno,Alto Riesgo (501-600),Pequeño (1K-3K)
1086,29,26-35 (Adulto Joven),Femenino,Casado/a,Alta gerencia / Autónomo,1 - 4 años,Propia,Bienes raíces,Sin cuenta corriente,< 100 DM,Cuenta crítica / créditos en otros bancos,Sí,Sí,1,Garante,Ninguno,Muy Alto Riesgo (300-500),Pequeño (1K-3K)
1087,27,26-35 (Adulto Joven),Femenino,Casado/a,Empleado calificado,< 1 año,Propia,Seguro de vida / Ahorro,0 - 200 DM (Bajo balance),< 100 DM,Cuenta crítica / créditos en otros bancos,No,Sí,1,Ninguno,Ninguno,Alto Riesgo (501-600),Pequeño (1K-3K)
1088,47,36-50 (Adulto),Masculino,Soltero/a,Empleado calificado,1 - 4 años,Gratuita,Sin propiedad conocida,0 - 200 DM (Bajo balance),100 - 500 DM,Créditos existentes pagados puntualmente,Sí,Sí,2,Ninguno,Ninguno,Alto Riesgo (501-600),Muy Grande (>10K)
1089,30,26-35 (Adulto Joven),Masculino,Soltero/a,Alta gerencia / Autónomo,4 - 7 años,Propia,Auto u otros bienes,< 0 DM (Sobregiro),100 - 500 DM,Créditos existentes pagados puntualmente,Sí,Sí,2,Ninguno,Ninguno,Alto Riesgo (501-600),Pequeño (1K-3K)
1090,28,26-35 (Adulto Joven),Masculino,Soltero/a,Empleado calificado,4 - 7 años,Propia,Bienes raíces,< 0 DM (Sobregiro),< 100 DM,Sin créditos / todos pagados,No,Sí,1,Ninguno,Ninguno,Riesgo Medio (601-700),Pequeño (1K-3K)
1091,56,50+ (Senior),Masculino,Soltero/a,Empleado calificado,>= 7 años,Propia,Bienes raíces,Sin cuenta corriente,< 100 DM,Cuenta crítica / créditos en otros bancos,No,Sí,1,Ninguno,Ninguno,Alto Riesgo (501-600),Micro (<1K)
1092,54,50+ (Senior),Masculino,Soltero/a,Empleado calificado,>= 7 años,Propia,Bienes raíces,< 0 DM (Sobregiro),< 100 DM,Cuenta crítica / créditos en otros bancos,No,Sí,1,Ninguno,Ninguno,Alto Riesgo (501-600),Pequeño (1K-3K)
1093,33,26-35 (Adulto Joven),Femenino,Casado/a,No calificado - Residente,>= 7 años,Propia,Seguro de vida / Ahorro,Sin cuenta corriente,Sin cuenta de ahorro,Cuenta crítica / créditos en otros bancos,No,Sí,2,Ninguno,Banco,Alto Riesgo (501-600),Micro (<1K)
1094,20,18-25 (Joven),Masculino,Soltero/a,Empleado calificado,>= 7 años,Alquiler,Sin propiedad conocida,>= 200 DM (Buen balance),Sin cuenta de ahorro,Cuenta crítica / créditos en otros bancos,No,Sí,1,Co-solicitante,Ninguno,Alto Riesgo (501-600),Mediano (3K-5K)
1095,54,50+ (Senior),Masculino,Soltero/a,Empleado calificado,>= 7 años,Propia,Bienes raíces,0 - 200 DM (Bajo balance),>= 1000 DM,Créditos existentes pagados puntualmente,Sí,Sí,1,Ninguno,Ninguno,Riesgo Medio (601-700),Pequeño (1K-3K)
